,image_name,price
0,MG01804.jpg,85389.32
783,MG220623.jpg,9063.07
785,MG03157.jpg,12158.82
786,MG219023.jpg,19204.32
787,MG03280.jpg,24541.82
790,MG01937.jpg,80051.82
791,MG5345S.jpg,186801.82
792,MG02987.jpg,7461.82
793,MG02037.jpg,12799.32
794,MG01987.jpg,100334.32
795,MG01339.jpg,13333.07
796,MG219623.jpg,3405.32
797,MG02356.jpg,3512.07
851,MG03073.jpg,21339.32
852,MG02441.jpg,38419.32
853,MG210823.jpg,8529.32
859,MG01439.jpg,5326.82
860,MG02221.jpg,10023.82
861,MG01440.jpg,14934.32
862,MG01441.jpg,21339.32
865,MG03085.jpg,74714.32
874,MG03261.jpg,7675.32
875,MG03254.jpg,7675.32
876,MG02607.jpg,13333.07
877,MG03084.jpg,17069.32
878,MG03057.jpg,6821.32
879,MG02820.jpg,10984.57
880,MG02997.jpg,13333.07
881,MG02447.jpg,10130.57
882,MG03258.jpg,7782.07
883,MG02967.jpg,8315.82
884,MG03059.jpg,6607.82
885,MG03289.jpg,7675.32
886,MG03292.jpg,10237.32
887,MG02798.jpg,11091.32
888,MG01826.jpg,7461.82
889,MG03162.jpg,6821.32
890,MG03165.jpg,6821.32
891,MG228423.jpg,7675.32
892,MG03259.jpg,7675.32
893,MG216123.jpg,13866.82
894,MG5347S.jpg,13866.82
895,MG02973.jpg,8102.32
896,MG03041.jpg,6928.07
897,MG02969.jpg,7888.82
898,MG5330S.jpg,6928.07
899,MG03257.jpg,7675.32
900,MG200823.jpg,13866.82
901,MG03029.jpg,6394.32
902,MG03032.jpg,7461.82
903,MG03164.jpg,6821.32
904,MG03033.jpg,7461.82
905,MG03252.jpg,7675.32
906,MG03089.jpg,13546.57
907,MG03097.jpg,15468.07
908,MG01730.jpg,14934.32
909,MG02620.jpg,15895.07
910,MG03078.jpg,17603.07
911,MG03302.jpg,18670.57
912,MG02758.jpg,18136.82
913,MG03271.jpg,17603.07
914,MG02662.jpg,16535.57
915,MG03046.jpg,17603.07
916,MG02986.jpg,12799.32
917,MG03099.jpg,14934.32
918,MG02373.jpg,14934.32
919,MG02988.jpg,11731.82
920,MG03290.jpg,13333.07
