,image_name,price
16414,10-10-ALS-76XD4A.jpg,19000.0
16563,10-10-ALS-6VET7Y.jpg,39900.0
16708,10-10-ALS-1F5NP3.jpg,27875.0
17073,10-10-ALS-9E38DY.jpg,23725.0
17092,10-10-ALS-8TEM5R.jpg,18750.0
17164,10-10-ALS-3PQ65V.jpg,18375.0
17398,10-10-ALS-6YGK8A.jpg,25500.0
17514,10-10-ALS-0S4P51.jpg,19638.0
17746,10-10-ALS-8DBSXE.jpg,17139.0
17764,10-10-ALS-75YBLK.jpg,18421.0
17836,10-10-ALS-8ANGXM.jpg,16000.0
17865,10-10-ALS-5C62XD.jpg,27975.0
17942,10-10-ALS-4TPYX2.jpg,73900.0
18153,10-10-ALS-2AQC48.jpg,41500.0
19059,10-10-ALS-5FBL7T.jpg,13448.0
19207,10-10-ALS-7N03HR.jpg,13150.0
19285,10-10-ALS-2U31PG.jpg,13000.0
19601,10-10-ALS-4AK9P5.jpg,12500.0
19821,10-10-ALS-1FZTDK.jpg,12150.0
21653,10-10-ALS-6U0PYB.jpg,10100.0
